Hour,Hour_Count,Hour_Count_SE,Hour_Count_NY
0,42063,30900,11163
1,16621,8553,8068
2,14048,7413,6635
3,12364,6684,5680
4,11666,6615,5051
5,9773,5900,3873
6,10233,5881,4352
7,13086,6497,6589
8,19164,9066,10098
9,18854,8410,10444
10,20443,9036,11407
11,20987,9103,11884
12,29145,13581,15564
13,23197,9826,13371
14,25421,10132,15289
15,27969,11232,16737
16,28282,11793,16489
17,30013,13371,16642
18,29281,12940,16341
19,27133,11795,15338
20,27608,12732,14876
21,24627,11680,12947
22,23587,11896,11691
23,20905,10447,10458
