Crime_Type_ID,Offense_Description
35A,Drug/Narcotic Violations
23G,Theft of Motor Vehicle Parts or Accessories
120,Robbery
290,Destruction/Damage/Vandalism of Property
90D,Driving Under the Influence
23C,Shoplifting
23F,Theft From Motor Vehicle
23D,Theft From Building
100,Kidnapping/Abduction
250,Counterfeiting/Forgery
23H,All Other Larceny
370,Pornography/Obscene Material
210,Extortion/Blackmail
240,Motor Vehicle Theft
11B,Sodomy
280,Stolen Property Offenses
26B,Credit Card/Automated Teller Machine Fraud
270,Embezzlement
26A,False Pretenses/Swindle/Confidence Game
26C,Impersonation
520,Weapon Law Violations
11D,Fondling
26E,Wire Fraud
26G,Hacking/Computer Invasion
26F,Identity Theft
35B,Drug Equipment Violations
200,Arson
90G,Liquor Law Violations
90A,Bad Checks
23A,Pocket-picking
11A,Rape
11C,Sexual Assault With An Object
40C,Purchasing Prostitution
23B,Purse-snatching
90F,"Family Offenses, Nonviolent"
23E,Theft From Coin-Operated Machine or Device
90J,Trespass of Real Property
13B,Simple Assault
13A,Aggravated Assault
13C,Intimidation
220,Burglary/Breaking & Entering
90H,Peeping Tom
720,Animal Cruelty
64A,"Human Trafficking, Commercial Sex Acts"
40A,Prostitution
64B,"Human Trafficking, Involuntary Servitude"
90B,Curfew/Loitering/Vagrancy Violations
36B,Statutory Rape
510,Bribery
09B,Negligent Manslaughter
26D,Welfare Fraud
90E,Drunkenness
09A,Murder & Nonnegligent Manslaughter
09C,Justifiable Homicide
39A,Betting/Wagering
40B,Assisting or Promoting Prostitution
39B,Operating/Promoting/Assisting Gambling
36A,Incest
